Quel est le nouveau domaine de la guerre officiellement identifié par l'OTAN dans le NWCC 2021 ?,Le domaine cognitif (ou humain).
La guerre cognitive marque le passage du contrôle de l'accès aux données (input) au contrôle du _____.,Traitement de l'information (processing).
Quels sont les trois piliers du « triptyque » de l'influence en guerre cognitive ?,"Les neurosciences, l'intelligence artificielle et la psychologie comportementale."
"En neurosciences, quelle partie du cerveau est ciblée pour court-circuiter le cortex préfrontal (siège de la raison) ?",L'amygdale (siège des émotions).
Quel outil de l'IA permet la production massive de médias synthétiques indétectables pour subvertir la réalité ?,L'IA générative (notamment via les deepfakes).
Terme : Biais cognitifs,Définition : Failles logicielles ou raccourcis mentaux exploités pour manipuler le jugement à l'insu de l'individu.
"Contrairement aux PSYOPS classiques qui ciblent le contenu de la pensée, la guerre cognitive cible _____.",Le processus de la pensée (la façon dont on pense).
Quelle est la temporalité typique d'une attaque en guerre cognitive ?,"Elle est permanente, diffuse et opère en « bas bruit » sur le temps long."
Quel est l'objectif principal de la doctrine de l'OTAN concernant la supériorité cognitive ?,Protéger l'intégrité des processus décisionnels démocratiques contre les interférences externes.
Concept : Contrôle Réflexif,Définition : Doctrine russe consistant à transmettre des informations calibrées pour que l'adversaire prenne « librement » une décision prédéterminée par l'agresseur.
Quel pays conçoit la guerre cognitive comme une « domination algorithmique » visant à gagner sans combat cinétique ?,La Chine.
Comment appelle-t-on le signal cérébral généré lors d'une contradiction que l'agresseur cherche à saturer ou à maintenir sous le seuil conscient ?,Le signal d'erreur.
Que signifie l'acronyme de la boucle décisionnelle OODA ?,"Observation, Orientation, Décision, Action."
"Dans la théorie du chaos appliquée à la société, que représente le paramètre $\rho$ (rho) ?",Le niveau de méfiance publique.
"Selon l'attracteur de Lorenz, quelle variable $\sigma$ (sigma) l'agresseur peut manipuler pour créer de l'instabilité ?",La vélocité de l'information.
Quel modèle épidémiologique est utilisé pour analyser la propagation de la désinformation ?,"Le modèle SIR (Susceptible, Infected, Recovered)."
"En désinformation, que représente l'indice $R_0$ ?",Le nombre de reproduction de base (le potentiel de contagion d'une rumeur).
Quelle est la première étape du modèle chinois de guerre cognitive algorithmique ?,Le portrait de l'utilisateur (analyse psychographique via le Big Data).
Concept : Extensibilité Gracieuse (Graceful Extensibility),Définition : Capacité d'un système décisionnel à fonctionner sous pression extrême sans s'effondrer.
Quels sont les trois piliers de l'immunisation mentale selon les sources ?,"L'éducation aux biais, l'extensibilité gracieuse et l'adaptabilité soutenue."
Comment Shoshana Zuboff nomme-t-elle le modèle économique fondé sur l'extraction des données privées ?,Le capitalisme de surveillance.
Concept : Surplus comportemental,Definition : Données extraites de l'expérience humaine utilisées pour prédire et modifier les comportements futurs.
Le « techno-féodalisme » compare les utilisateurs générant des données gratuites à des _____.,Serfs numériques.
Quel terme désigne l'extraction des vies numériques du Sud Global par les géants technologiques du Nord ?,Le colonialisme de la donnée (ou colonialisme numérique).
Quel pays a été le pionnier mondial en inscrivant les « neurodroits » dans sa constitution ?,Le Chili.
L'opération russe « Doppelgänger » utilise le _____ pour imiter des sites de presse officiels comme Le Monde.,Typosquatting (altération légère de l'URL).
Quel est l'objectif de l'opération « Matriochka » ?,Épuiser et discréditer les journalistes de fact-checking par des requêtes de vérification absurdes et massives.
