"Selon l'OTAN (NWCC 2021), quel espace est désormais formellement désigné comme le ""sixième domaine"" de la guerre ?",Le domaine cognitif (ou humain).
Quelle est la distinction majeure entre les opérations psychologiques (PSYOPS) classiques et la guerre cognitive ?,"Les PSYOPS visent ce que l'on pense (contenu), tandis que la guerre cognitive vise la façon dont on pense (processus)."
"Dans le ""triptyque de l'influence"", quel est le rôle spécifique des neurosciences ?",Cartographier les mécanismes biochimiques de la décision pour court-circuiter le raisonnement via l'amygdale.
Comment l'intelligence artificielle (IA) transforme-t-elle la manipulation des masses selon les sources ?,Elle industrialise le micro-ciblage psychographique et la production massive de médias synthétiques (deepfakes).
Définition : Contrôle Réflexif (doctrine russe),"Technique consistant à transmettre des informations calibrées pour qu'un adversaire prenne, de son plein gré, une décision prédéterminée par l'agresseur."
"Quel est l'objectif central de la doctrine chinoise de la ""domination algorithmique"" ?",Gagner la guerre avant le premier engagement cinétique en reconfigurant les matrices de sens des populations adverses.
"Dans le modèle épidémiologique SIR appliqué à la désinformation, que représente le paramètre $R_0$ ?",Le nombre de reproduction de base déterminant si une rumeur s'éteindra ou infectera de manière exponentielle le corps social.
L'application de l'attracteur de Lorenz à la guerre cognitive suggère qu'une manipulation légère de la vélocité de l'information ($\sigma$) peut provoquer _____.,Un effondrement systémique ou une instabilité imprévisible de la société.
Que signifie l'acronyme de la boucle décisionnelle OODA ?,"Observation, Orientation, Décision, Action."
Concept : Extensibilité Gracieuse (Graceful Extensibility),Capacité d'un système décisionnel à étendre ses capacités de réponse sous pression extrême sans s'effondrer.
Quel organe cérébral est considéré comme le siège des émotions et la cible privilégiée pour court-circuiter le cortex préfrontal ?,L'amygdale.
Quelle théorie économique de George Akerlof est utilisée pour expliquer l'asymétrie d'information initiale ?,"Le marché des ""tacots"" (Market for Lemons)."
"Selon Shoshana Zuboff, comment se définit le ""capitalisme de surveillance"" ?",Un modèle revendiquant l'expérience humaine privée comme matière première gratuite pour des produits de prédiction.
"Qu'est-ce que le ""surplus comportemental"" dans l'économie des plateformes ?","L'agrégat de données (hésitations, clics, émotions) utilisé pour modéliser et modifier activement le comportement des utilisateurs."
"Quelle est la caractéristique principale du ""techno-féodalisme"" ?",Le remplacement des marchés par des fiefs numériques où les entreprises sont des vassaux et les utilisateurs des serfs générant de la donnée.
"Quel pays a servi d'exemple de ""colonialisme de la donnée"" via un accord sur la reconnaissance faciale avec l'entreprise CloudWalk ?",Le Zimbabwe.
"Selon Susan Strange, qu'est-ce que le ""pouvoir structurel"" ?","La capacité de définir le cadre normatif et matériel (sécurité, finance, production, savoir) dans lequel les autres acteurs opèrent."
"En France, quelle agence est spécifiquement chargée de détecter les Ingérences Numériques Étrangères (INE) ?",VIGINUM.
"Quelle est la différence entre le ""prebunking"" (inoculation cognitive) et le ""fact-checking"" ?","Le prebunking prévient la manipulation en exposant les techniques à l'avance, alors que le fact-checking intervient après la diffusion du mensonge."
Concept : Prime au menteur (Liar's Dividend),Phénomène où l'existence de l'IA permet à un coupable de nier une preuve authentique en prétendant qu'il s'agit d'un deepfake.
"Quel pays est le pionnier mondial dans l'inscription des ""neurodroits"" au sein de sa constitution ?",Le Chili.
Quel rapport de 2024 a redéfini la sécurité de l'UE comme une responsabilité partagée par l'ensemble de la société ?,Le rapport Niinistö.
"La tactique russe de la ""Maskirovka"" désigne un état d'esprit permanent fondé sur _____.","La déception, le camouflage et la dissimulation des intentions réelles."
"Qu'est-ce que la ""Narrative Kill Chain"" identifiée par Sensity AI ?",Une séquence modulaire de payloads basés sur des deepfakes conçus pour produire des effets cognitifs prévisibles.
